"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,5669.54,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,5985.68,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,6399.29,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,7100.28,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,6797.58,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,6709.07,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,6442.96,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,6412.6,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,7731.32,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,7792.5,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,8407.78,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,9732.16,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,9768.44,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,10012.44,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,13575.34,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,14671.23,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2021","2021","USD","US Dollar","0","Units",,,14822.94,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.9,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,2.04,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.91,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,2.02,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,2.44,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,2.82,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,3.07,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,3.1,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,3.3,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,3.23,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,3.23,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,3.62,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,4.06,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.17,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.16,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,4.59,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,4.47,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,4.46,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,5.02,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,3954.06,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,4255.41,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,3986.39,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,4209.55,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,5098.17,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,5890.32,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,6400.41,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,6470.59,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,6888.47,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,6736.38,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,6738.36,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,7545.7,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,8474.15,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,8697.31,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,8678.07,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,9577.19,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,9315.3,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,9294.94,,
"LVA","Latvia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2021","2021","USD","US Dollar","0","Units",,,10465.25,,
